incoming_amt,incoming_expiry,incoming_add_ts,incoming_remove_ts,outgoing_amt,outgoing_expiry,outgoing_add_ts,outgoing_remove_ts,forwarding_node,forwarding_alias,chan_in,chan_out
390977,408,1711634159701160417,1711634159701163833,389977,328,1711634159701161917,1711634159701162583,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
27815,260,1711634163704436750,1711634163704445333,27192,160,1711634163704438958,1711634163704443042,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,333152023281664,345246651187200
7835,520,1711634163905179375,1711634163905184000,6835,420,1711634163905181458,1711634163905183583,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,337550069792768
1447,224,1711634165918081125,1711634165918089208,447,80,1711634165918085583,1711634165918087500,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
4752,408,1711634167925042667,1711634167925052583,3752,328,1711634167925046250,1711634167925050250,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
10000012,684,1711634169701949375,1711634169701963500,1012,264,1711634169701953875,1711634169701963208,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,2,334251534909440,330953000026112
1012,264,1711634169701953875,1711634169701963208,12,120,1711634169701955625,1711634169701960958,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
5593,264,1711634169753752792,1711634169753759583,4591,120,1711634169753755083,1711634169753757292,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1046,224,1711634173943264542,1711634173943269333,46,80,1711634173943266667,1711634173943268708,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
8075,520,1711634175919598000,1711634175919606625,7075,420,1711634175919600542,1711634175919604083,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
119200,260,1711634179710038875,1711634179710052208,118551,160,1711634179710042542,1711634179710048292,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,333152023281664,345246651187200
7352,408,1711634179954351000,1711634179954359167,6352,328,1711634179954354958,1711634179954357375,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
523846,408,1711634179956744917,1711634179956747583,522846,328,1711634179956745500,1711634179956747208,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
1048,224,1711634179959148792,1711634179959155167,48,80,1711634179959151042,1711634179959153542,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
50349,324,1711634181705212625,1711634181705221875,49849,224,1711634181705215667,1711634181705219750,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,333152023281664
1025,224,1711634181967608958,1711634181967612833,25,80,1711634181967610792,1711634181967612375,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
